record_id,case_id,issue_type,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,ai_severity,human_decision,human_root_cause,human_evidence,human_fix,human_correction,correction_made,correction_category,correction_reason,supporting_evidence,impact,lesson_learned,timestamp
RAI-011,NET-009,DHCP,Incorrect default-router configured in DHCP pool option.,0.89,Observed show output in case NET-009,ipconfig /renew on client PC and verify gateway address,Update DHCP pool configuration on R1 with default-router 192.168.10.1.,High,ACCEPT,Incorrect default-router configured in DHCP pool option.,R1# show running-config | section dhcp,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified invalid default-router IP in pool.,"R1# show running-config | section dhcp
ip dhcp pool OFFICE
 network 192.168.10.0 255.255.255.0
 defa",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:50:00Z
RAI-012,NET-010,DHCP,Missing ip helper-address command on VLAN subinterface.,0.88,Observed show output in case NET-010,show running-config interface Vlan20 and ipconfig /renew on client,Configure ip helper-address 10.0.10.2 under interface Vlan20 on SW.,Medium,ACCEPT,Missing ip helper-address command on VLAN subinterface.,SW# show running-config interface Vlan20,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified missing DHCP relay configuration.,"SW# show running-config interface Vlan20
interface Vlan20
 ip address 10.0.20.1 255.255.255.0
 ! Mis",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:55:00Z
RAI-013,NET-011,DHCP,Router interface IP is included in pool without ip dhcp excluded-address.,0.84,Observed show output in case NET-011,show running-config | include excluded-address and clear ip dhcp conflict *,Add ip dhcp excluded-address 192.168.1.1 to global router configuration.,High,ACCEPT,Router interface IP is included in pool without ip dhcp excluded-address.,Router# show running-config | include dhcp,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified unexcluded router IP causing conflict.,"Router# show running-config | include dhcp
ip dhcp pool LOCAL
 network 192.168.1.0 255.255.255.0
 de",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:00:00Z
RAI-014,NET-033,DHCP,DHCP server service is turned off globally.,0.82,Observed show output in case NET-033,ipconfig /renew on client PC,Update DHCP pool network statement to network 192.168.1.0 255.255.255.0.,Medium,REJECT,DHCP network statement subnet 192.168.2.0/24 mismatches interface Gi0/1 IP 192.168.10.1/24.,Branch_Router# show running-config | section dhcp,Update DHCP pool network statement to network 192.168.1.0 255.255.255.0.,DHCP network statement subnet 192.168.2.0/24 mismatches interface Gi0/1 IP 192.168.10.1/24.,True,WRONG_ROOT_CAUSE,AI wrongly claimed service dhcp was disabled. Show run showed service enabled but wrong network statement.,"Branch_Router# show running-config | section dhcp
ip dhcp pool BRANCH
 network 192.168.2.0 255.255.2",Enhanced diagnostic precision and risk mitigation,Verify exact interface status and VLAN allowed lists before assuming Layer 3 routing failures.,2026-08-28T11:05:00Z
RAI-015,NET-012,DNS,Host DNS server IP points to loopback address 127.0.0.1.,0.94,Observed show output in case NET-012,nslookup cisco.com on PC,Update DNS server IP address to a reachable server (e.g. 8.8.8.8 or internal DNS IP).,High,ACCEPT,Host DNS server IP points to loopback address 127.0.0.1.,C:\> ping 8.8.8.8,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified invalid loopback DNS configuration.,"C:\> ping 8.8.8.8
Reply from 8.8.8.8: bytes=32 time=20ms TTL=115

C:\> ipconfig /all
DNS Servers . .",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:10:00Z
RAI-016,NET-013,DNS,ACL 101 blocks UDP port 53 traffic to external DNS server.,0.9,Observed show output in case NET-013,show access-lists OUTBOUND and nslookup google.com from client,Add permit udp any any eq 53 to extended access-list OUTBOUND on DNS router.,Medium,ACCEPT,ACL 101 blocks UDP port 53 traffic to external DNS server.,DNS_Server# show access-lists,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified ACL rule blocking DNS port 53.,"DNS_Server# show access-lists
Extended IP access list OUTBOUND
 10 permit tcp any any eq www
 20 per",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:15:00Z
RAI-017,NET-014,DNS,Incorrect DNS IP configured on client network adapter.,0.88,Observed show output in case NET-014,ipconfig /all on host and nslookup lab.local,Correct static DNS server address on Host to 10.0.0.53.,Medium,ACCEPT,Incorrect DNS IP configured on client network adapter.,Host> ipconfig /all,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified mistyped client DNS IP.,"Host> ipconfig /all
DNS Servers . . . . . . . . . . . : 10.0.0.99

Router# show ip route
C 192.168.1",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:20:00Z
RAI-018,NET-034,DNS,DNS server hostname resolution is disabled on local gateway router.,0.81,Observed show output in case NET-034,ping google.com from R1,Configure ip domain-lookup and ip name-server 8.8.8.8 on router R1.,Low,EDIT,Router missing ip domain-lookup and ip name-server 8.8.8.8 configuration statements.,R1# show running-config | include ip domain,Configure ip domain-lookup and ip name-server 8.8.8.8 on router R1.,Router missing ip domain-lookup and ip name-server 8.8.8.8 configuration statements.,True,INCOMPLETE_FIX,AI diagnosis was vague; reviewer specified exact missing Cisco IOS commands.,"R1# show running-config | include ip domain
! No ip domain-name or ip name-server configured

R1# pi",Enhanced diagnostic precision and risk mitigation,Provide exact Cisco IOS syntax commands in remediation recommendations.,2026-08-28T11:25:00Z
RAI-019,NET-015,Routing,Missing static route for destination network 10.0.0.0/24 on R1.,0.92,Observed show output in case NET-015,show ip route on R1 and ping 10.0.0.10 from R1,Configure static route on R1: ip route 10.0.0.0 255.255.255.0 172.16.0.2.,Critical,ACCEPT,Missing static route for destination network 10.0.0.0/24 on R1.,R1# show ip route,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified missing static route.,"R1# show ip route
C 192.168.1.0/24 is directly connected
C 172.16.0.0/30 is directly connected
! Not",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:30:00Z
RAI-020,NET-016,Routing,Default route next-hop IP is configured with unreachable IP.,0.89,Observed show output in case NET-016,show ip route on R1 and ping 10.1.1.1,Reconfigure static default route on R1: ip route 0.0.0.0 0.0.0.0 10.1.1.1.,Critical,ACCEPT,Default route next-hop IP is configured with unreachable IP.,R1# show running-config | include ip route,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified invalid next-hop IP.,"R1# show running-config | include ip route
ip route 0.0.0.0 0.0.0.0 10.1.1.254

R1# show ip interfac",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:35:00Z
RAI-021,NET-017,Routing,OSPF network command missing area 0 assignment for Gi0/1 interface.,0.91,Observed show output in case NET-017,show ip ospf neighbor on R1 and R2,Add network 192.168.12.0 0.0.0.255 area 0 under router ospf 1 on R1.,High,ACCEPT,OSPF network command missing area 0 assignment for Gi0/1 interface.,R1# show running-config | section ospf,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified missing OSPF network statement.,"R1# show running-config | section ospf
router ospf 1
 network 10.0.0.0 0.0.0.255 area 0

R1# show ip",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:40:00Z
RAI-022,NET-018,Routing,EIGRP AS mismatch between R1 (AS 10) and R2 (AS 20).,0.93,Observed show output in case NET-018,show ip eigrp neighbors on R1,Change EIGRP AS number on R2 to match R1 (router eigrp 100).,High,ACCEPT,EIGRP AS mismatch between R1 (AS 10) and R2 (AS 20).,R1# show ip protocols,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified EIGRP AS mismatch.,"R1# show ip protocols
Routing Protocol is 'eigrp 100'

R2# show ip protocols
Routing Protocol is 'ei",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:45:00Z
RAI-023,NET-019,Routing,Interface Gi0/0 is configured as passive-interface under RIP process.,0.83,Observed show output in case NET-019,show ip route rip on R2,Remove passive-interface GigabitEthernet0/1 under router rip process on R1.,Medium,REJECT,RIP version mismatch: R1 is running RIPv1 while R2 sends RIPv2 updates.,R1# show running-config | section router rip,Remove passive-interface GigabitEthernet0/1 under router rip process on R1.,RIP version mismatch: R1 is running RIPv1 while R2 sends RIPv2 updates.,True,WRONG_ROOT_CAUSE,"AI claimed passive-interface issue, but show run shows no passive-interface line. Fault is RIP version mismatch.","R1# show running-config | section router rip
router rip
 version 2
 passive-interface GigabitEtherne",Enhanced diagnostic precision and risk mitigation,Verify exact interface status and VLAN allowed lists before assuming Layer 3 routing failures.,2026-08-28T11:50:00Z
RAI-024,NET-020,ACL,Extended ACL 101 denies HTTP port 80 traffic to Web Server.,0.9,Observed show output in case NET-020,show access-lists 101 and HTTP query to 10.0.0.80,Modify ACL 101 to permit TCP port 80 traffic to 10.0.0.80 or remove deny entry 10.,High,ACCEPT,Extended ACL 101 denies HTTP port 80 traffic to Web Server.,R1# show access-lists,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified ACL deny rule for HTTP.,"R1# show access-lists
Extended IP access list 101
 10 deny tcp 192.168.1.0 0.0.0.255 host 10.0.0.80 ",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T11:55:00Z
RAI-025,NET-021,ACL,Standard ACL applied close to source incorrectly blocks all traffic.,0.88,Observed show output in case NET-021,show ip interface Gi0/0 and ping 8.8.8.8 from PC1,Remove ip access-group 1 in from Gi0/0 and apply specific extended ACL closer to destination.,Medium,ACCEPT,Standard ACL applied close to source incorrectly blocks all traffic.,R1# show access-lists 1,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified bad placement of standard ACL.,"R1# show access-lists 1
Standard IP access list 1
 10 deny 10.1.1.10
 20 permit any

R1# show runnin",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:00:00Z
RAI-026,NET-022,ACL,Extended ACL rule has source and destination IP ranges reversed.,0.87,Observed show output in case NET-022,show access-lists 110 and test SSH connection,Update entry 10 in ACL 110 to permit tcp any host 192.168.50.5 eq 22.,High,ACCEPT,Extended ACL rule has source and destination IP ranges reversed.,R1# show access-lists 110,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified reversed ACL parameters.,"R1# show access-lists 110
Extended IP access list 110
 10 permit tcp host 192.168.50.5 any eq 22  ! ",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:05:00Z
RAI-027,NET-023,ACL,ACL 100 applied in out direction instead of in direction on Gi0/0.,0.85,Observed show output in case NET-023,show ip interface Gi0/1 and ping external IP from internal PC,Remove access-group 100 from Gi0/1 and apply ip access-group 100 in on external interface Gi0/0.,Medium,EDIT,ACL 100 applied inbound on wrong interface Gi0/1 instead of target LAN interface Gi0/0.,R1# show running-config interface Gi0/1,Remove access-group 100 from Gi0/1 and apply ip access-group 100 in on external interface Gi0/0.,ACL 100 applied inbound on wrong interface Gi0/1 instead of target LAN interface Gi0/0.,True,WRONG_ROOT_CAUSE,AI correctly identified directional error but missed interface assignment mismatch.,"R1# show running-config interface Gi0/1
interface GigabitEthernet0/1
 ip access-group 100 in

R1# sh",Enhanced diagnostic precision and risk mitigation,Verify exact interface status and VLAN allowed lists before assuming Layer 3 routing failures.,2026-08-28T12:10:00Z
RAI-028,NET-024,NAT,Interface Gi0/0 missing ip nat inside statement.,0.92,Observed show output in case NET-024,show running-config interface Gi0/1 and show ip nat translations,Add ip nat inside to interface GigabitEthernet0/1 configuration on R1.,High,ACCEPT,Interface Gi0/0 missing ip nat inside statement.,R1# show running-config | include ip nat,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified missing ip nat inside command.,"R1# show running-config | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/0 ov",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:15:00Z
RAI-029,NET-025,NAT,PAT configuration missing overload keyword on ip nat inside source list.,0.9,Observed show output in case NET-025,show ip nat translations with multiple internal users,Reconfigure NAT rule to include overload: ip nat inside source list 1 interface Gi0/0 overload.,High,ACCEPT,PAT configuration missing overload keyword on ip nat inside source list.,R1# show running-config | include ip nat inside source,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified missing overload keyword for PAT.,"R1# show running-config | include ip nat inside source
ip nat inside source list 1 interface Gigabit",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:20:00Z
RAI-030,NET-026,NAT,NAT ACL 1 does not permit new LAN subnet 192.168.30.0/24.,0.89,Observed show output in case NET-026,show access-lists 1 and ping external IP from VLAN 20 PC,Add access-list 1 permit 192.168.20.0 0.0.0.255 to NAT ACL on R1.,Medium,ACCEPT,NAT ACL 1 does not permit new LAN subnet 192.168.30.0/24.,R1# show access-lists 1,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified ACL exclusion in NAT scope.,"R1# show access-lists 1
Standard IP access list 1
 10 permit 192.168.10.0, wildcard bits 0.0.0.255

",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:25:00Z
RAI-031,NET-035,NAT,Static NAT entry maps public IP to wrong internal IP address.,0.84,Observed show output in case NET-035,show ip nat translations and HTTP query to 203.0.113.10,Update static NAT rule: ip nat inside source static 192.168.1.100 203.0.113.10.,High,EDIT,Static NAT translation rule has typo in inside local address (192.168.1.50 vs server IP 192.168.1.5).,R1# show running-config | include ip nat inside source static,Update static NAT rule: ip nat inside source static 192.168.1.100 203.0.113.10.,Static NAT translation rule has typo in inside local address (192.168.1.50 vs server IP 192.168.1.5).,True,WRONG_ROOT_CAUSE,AI diagnosed static NAT error; reviewer corrected exact internal server host IP.,"R1# show running-config | include ip nat inside source static
ip nat inside source static 192.168.1.",Enhanced diagnostic precision and risk mitigation,Verify exact interface status and VLAN allowed lists before assuming Layer 3 routing failures.,2026-08-28T12:30:00Z
RAI-032,NET-027,Wireless,Guest WLAN profile mapped to incorrect VLAN ID on WLC.,0.91,Observed show output in case NET-027,show wlan 2 on WLC and ipconfig on guest client,Update WLAN 2 interface mapping on WLC to dynamic interface Guest-VLAN50.,High,ACCEPT,Guest WLAN profile mapped to incorrect VLAN ID on WLC.,WLC> show wlan 2,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified WLAN to VLAN mapping error.,"WLC> show wlan 2
WLAN Identifier.................................. 2
Profile Name...................",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:35:00Z
RAI-033,NET-028,Wireless,WPA2 security authentication mismatch (802.1X Enterprise vs PSK).,0.88,Observed show output in case NET-028,show wlan 1 on WLC,Change WLAN 1 Layer 2 security Auth Key Management to PSK and enter pre-shared key.,Medium,ACCEPT,WPA2 security authentication mismatch (802.1X Enterprise vs PSK).,WLC> show wlan 1,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified WPA2 auth type mismatch.,"WLC> show wlan 1
WLAN Identifier.................................. 1
Profile Name...................",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:40:00Z
RAI-034,NET-029,Wireless,WLC internal DHCP scope for wireless clients is disabled.,0.86,Observed show output in case NET-029,show dhcp summary on WLC and ipconfig /renew on guest client,Enable DHCP scope GuestPool on WLC with config dhcp scope enable GuestPool.,Medium,ACCEPT,WLC internal DHCP scope for wireless clients is disabled.,WLC> show dhcp summary,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified disabled WLC DHCP scope.,"WLC> show dhcp summary
Scope Name: GuestPool
Network: 172.16.50.0/24
Default Router: 172.16.50.254
S",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T12:45:00Z
RAI-035,NET-030,Wireless,Guest client isolation ACL not applied on switch access port.,0.8,Observed show output in case NET-030,show ip interface Vlan50 and ping 10.0.0.10 from guest host,"Apply ACL inbound on Vlan50 interface (interface Vlan50, ip access-group GUEST_BLOCK in).",High,REJECT,AP switch port Fa0/12 missing switchport trunk allowed vlan 50 for Guest WLAN traffic.,WLC> show wlan 3,"Apply ACL inbound on Vlan50 interface (interface Vlan50, ip access-group GUEST_BLOCK in).",AP switch port Fa0/12 missing switchport trunk allowed vlan 50 for Guest WLAN traffic.,True,WRONG_ROOT_CAUSE,AI blamed guest isolation ACL; show interfaces trunk confirmed VLAN 50 was missing on AP trunk link.,"WLC> show wlan 3
SSID: Guest-WiFi
Interface: guest-vlan50
Client ACL: None

Core Switch# show access",Enhanced diagnostic precision and risk mitigation,Verify exact interface status and VLAN allowed lists before assuming Layer 3 routing failures.,2026-08-28T12:50:00Z
