case_id,issue_type,ai_success,ai_root_cause,expected_root_cause,root_cause_match,ai_confidence,ai_severity,expected_severity,severity_match,ai_osi_layer,expected_osi_layer,osi_layer_match,ai_evidence,evidence_grounded,ai_next_command,ai_fix_steps,rule_checker_findings,error,latency_ms
NET-011,DHCP,True,"Router IP (192.168.1.1) is not excluded from the DHCP pool, causing conflicts.","Router IP (192.168.1.1) is not excluded from the DHCP pool, causing conflicts.",True,0.9,High,High,True,,Layer 7,,Observed symptom: Occasional IP conflict warnings on the network. Router inter | Topology connection: Router provides DHCP for its own attached subnet. | Show command finding: Router# show running-config | include dhcp,True,show running-config | include excluded-address and clear ip dhcp conflict *,Add ip dhcp excluded-address 192.168.1.1 to global router configuration.,No duplicate IP addresses detected.,,0.0
NET-012,DNS,True,Incorrect DNS server (127.0.0.1) configured via DHCP or statically.,Incorrect DNS server (127.0.0.1) configured via DHCP or statically.,True,0.9,High,High,True,,Layer 7,,Observed symptom: Users can ping 8.8.8.8 but cannot browse websites by name. | Topology connection: Users -> Router -> ISP | Show command finding: C:\> ping 8.8.8.8,True,nslookup cisco.com on PC,Update DNS server IP address to a reachable server (e.g. 8.8.8.8 or internal DNS IP).,No duplicate IP addresses detected.,,0.0
NET-013,DNS,True,"ACL permits HTTP/HTTPS but denies other IP traffic, which blocks DNS UDP traffic on port 53.","ACL permits HTTP/HTTPS but denies other IP traffic, which blocks DNS UDP traffic on port 53.",True,0.9,Medium,Medium,True,,Layer 4,,"Observed symptom: Internal domain names resolve correctly, but external websit | Topology connection: PC -> Internal DNS Server -> Internet | Show command finding: DNS_Server# show access-lists",True,show access-lists OUTBOUND and nslookup google.com from client,Add permit udp any any eq 53 to extended access-list OUTBOUND on DNS router.,No duplicate IP addresses detected.,,0.0
NET-014,DNS,True,The host is configured with an incorrect DNS server IP (10.0.0.99) instead of the actual DNS server (10.0.0.53).,The host is configured with an incorrect DNS server IP (10.0.0.99) instead of the actual DNS server (10.0.0.53).,True,0.9,Medium,Medium,True,,Layer 3,,Observed symptom: Host fails to resolve names. DNS server is on a different su | Topology connection: Host -> Router -> DNS Server (10.0.0.53) | Show command finding: Host> ipconfig /all,True,ipconfig /all on host and nslookup lab.local,Correct static DNS server address on Host to 10.0.0.53.,No duplicate IP addresses detected.,,0.0
NET-015,Routing,True,Missing static route to 10.0.0.0/24 on R1.,Missing static route to 10.0.0.0/24 on R1.,True,0.9,Critical,Critical,True,,Layer 3,,Observed symptom: PC at branch office cannot reach the head office server subn | Topology connection: Branch (192.168.1.0/24) -> R1 (172.16.0.1) -> R2 (172.16.0.2 | Show command finding: R1# show ip route,True,show ip route on R1 and ping 10.0.0.10 from R1,Configure static route on R1: ip route 10.0.0.0 255.255.255.0 172.16.0.2.,No duplicate IP addresses detected.,,0.0
NET-016,Routing,True,Incorrect static default route next-hop (10.1.1.254 instead of 10.1.1.1).,Incorrect static default route next-hop (10.1.1.254 instead of 10.1.1.1).,True,0.9,Critical,Critical,True,,Layer 3,,Observed symptom: Internet access is down for all users on R1. | Topology connection: R1 (Gi0/0: 10.1.1.2) -> ISP Router (Gi0/0: 10.1.1.1) | Show command finding: R1# show running-config | include ip route,True,show ip route on R1 and ping 10.1.1.1,Reconfigure static default route on R1: ip route 0.0.0.0 0.0.0.0 10.1.1.1.,No duplicate IP addresses detected. | Interface Gi0/0 on R1 is down.,,0.0
NET-017,Routing,True,Missing OSPF network command for the 192.168.12.0 network on R1.,Missing OSPF network command for the 192.168.12.0 network on R1.,True,0.9,High,High,True,,Layer 3,,Observed symptom: OSPF neighbor relationship is not forming between R1 and R2. | Topology connection: R1 (192.168.12.1) <-> R2 (192.168.12.2) | Show command finding: R1# show running-config | section ospf,True,show ip ospf neighbor on R1 and R2,Add network 192.168.12.0 0.0.0.255 area 0 under router ospf 1 on R1.,No duplicate IP addresses detected. | Interface Gi0/0 on R1 is down.,,0.0
NET-018,Routing,True,EIGRP Autonomous System (AS) number mismatch (100 vs 200).,EIGRP Autonomous System (AS) number mismatch (100 vs 200).,True,0.9,High,High,True,,Layer 3,,Observed symptom: EIGRP routing table on R1 does not contain routes from R2. | Topology connection: R1 <-> R2 | Show command finding: R1# show ip protocols,True,show ip eigrp neighbors on R1,Change EIGRP AS number on R2 to match R1 (router eigrp 100).,No duplicate IP addresses detected.,,0.0
NET-019,Routing,True,Passive-interface is incorrectly configured on the link connecting to R2 (Gi0/1).,Passive-interface is incorrectly configured on the link connecting to R2 (Gi0/1).,True,0.9,Medium,Medium,True,,Layer 3,,Observed symptom: R2 receives no RIP updates from R1 on their connecting link  | Topology connection: R1 (Gi0/1) <-> R2 (Gi0/1) | Show command finding: R1# show running-config | section router rip,True,show ip route rip on R2,Remove passive-interface GigabitEthernet0/1 under router rip process on R1.,No duplicate IP addresses detected.,,0.0
NET-020,ACL,True,ACL 101 is applied outbound on Gi0/1 and explicitly denies HTTP traffic from the user subnet to the web server.,ACL 101 is applied outbound on Gi0/1 and explicitly denies HTTP traffic from the user subnet to the web server.,True,0.9,High,High,True,,Layer 4,,Observed symptom: Users on 192.168.1.0 cannot access the web server at 10.0.0. | Topology connection: Users -> R1 (Gi0/1) -> Web Server | Show command finding: R1# show access-lists,True,show access-lists 101 and HTTP query to 10.0.0.80,Modify ACL 101 to permit TCP port 80 traffic to 10.0.0.80 or remove deny entry 10.,No duplicate IP addresses detected.,,0.0
NET-021,ACL,True,"Standard ACL 1 is applied closest to the source (Gi0/0 in), blocking PC1 from reaching all other networks instead of just a specific destination.","Standard ACL 1 is applied closest to the source (Gi0/0 in), blocking PC1 from reaching all other networks instead of just a specific destination.",True,0.9,Medium,Medium,True,,Layer 3,,"Observed symptom: PC1 (10.1.1.10) cannot reach the Internet, but it CAN reach  | Topology connection: PC1 -> R1 (Gi0/0) -> Internet. Printer is on R1 Gi0/0. | Show command finding: R1# show access-lists 1",True,show ip interface Gi0/0 and ping 8.8.8.8 from PC1,Remove ip access-group 1 in from Gi0/0 and apply specific extended ACL closer to destination.,No duplicate IP addresses detected.,,0.0
NET-022,ACL,True,Extended ACL 110 has the source and destination IP/ports reversed for inbound traffic.,Extended ACL 110 has the source and destination IP/ports reversed for inbound traffic.,True,0.9,High,High,True,,Layer 4,,Observed symptom: External SSH access to the admin jump server (192.168.50.5)  | Topology connection: Internet -> R1 (Gi0/0) -> Jump Server | Show command finding: R1# show access-lists 110,True,show access-lists 110 and test SSH connection,Update entry 10 in ACL 110 to permit tcp any host 192.168.50.5 eq 22.,No duplicate IP addresses detected.,,0.0
NET-023,ACL,True,ACL 100 is applied in the wrong direction or wrong interface (applied IN on the internal interface instead of IN on external).,ACL 100 is applied in the wrong direction or wrong interface (applied IN on the internal interface instead of IN on external).,True,0.9,Medium,Medium,True,,Layer 3,,Observed symptom: Ping from internal network to external server fails. ACL 100 | Topology connection: Internal -> R1 (Gi0/1) -> (Gi0/0) External | Show command finding: R1# show running-config interface Gi0/1,True,show ip interface Gi0/1 and ping external IP from internal PC,Remove access-group 100 from Gi0/1 and apply ip access-group 100 in on external interface Gi0/0.,No duplicate IP addresses detected.,,0.0
NET-024,NAT,True,Missing 'ip nat inside' command on the internal interface Gi0/1.,Missing 'ip nat inside' command on the internal interface Gi0/1.,True,0.9,High,High,True,,Layer 3,,Observed symptom: Internal users cannot reach the internet. NAT overload is co | Topology connection: Internal (Gi0/1) -> R1 -> External (Gi0/0) | Show command finding: R1# show running-config | include ip nat,True,show running-config interface Gi0/1 and show ip nat translations,Add ip nat inside to interface GigabitEthernet0/1 configuration on R1.,No duplicate IP addresses detected.,,0.0
NET-025,NAT,True,"The 'overload' keyword is missing from the NAT configuration, preventing PAT.","The 'overload' keyword is missing from the NAT configuration, preventing PAT.",True,0.9,High,High,True,,Layer 4,,Observed symptom: Only one internal user can access the internet at a time. | Topology connection: Internal -> R1 -> Internet | Show command finding: R1# show running-config | include ip nat inside source,True,show ip nat translations with multiple internal users,Reconfigure NAT rule to include overload: ip nat inside source list 1 interface Gi0/0 overload.,No duplicate IP addresses detected.,,0.0
NET-026,NAT,True,The NAT ACL (list 1) does not permit the new VLAN 20 subnet.,The NAT ACL (list 1) does not permit the new VLAN 20 subnet.,True,0.9,Medium,Medium,True,,Layer 3,,Observed symptom: Users on the new VLAN 20 (192.168.20.0/24) cannot reach the  | Topology connection: VLAN 10/20 -> R1 -> Internet | Show command finding: R1# show access-lists 1,True,show access-lists 1 and ping external IP from VLAN 20 PC,Add access-list 1 permit 192.168.20.0 0.0.0.255 to NAT ACL on R1.,No duplicate IP addresses detected.,,0.0
NET-027,Wireless,True,Guest WLAN is incorrectly mapped to the management interface/VLAN 10 instead of the Guest dynamic interface/VLAN 50.,Guest WLAN is incorrectly mapped to the management interface/VLAN 10 instead of the Guest dynamic interface/VLAN 50.,True,0.9,High,High,True,,Layer 2,,Observed symptom: Wireless clients connect to the 'Guest' SSID but receive IPs | Topology connection: WLC -> SW1. Guest WLAN should be VLAN 50. | Show command finding: WLC> show wlan 2,True,show wlan 2 on WLC and ipconfig on guest client,Update WLAN 2 interface mapping on WLC to dynamic interface Guest-VLAN50.,No duplicate IP addresses detected.,,0.0
NET-028,Wireless,True,"WLAN is configured for 802.1x (Enterprise) authentication, but the user is expecting a WPA2 PSK.","WLAN is configured for 802.1x (Enterprise) authentication, but the user is expecting a WPA2 PSK.",True,0.9,Medium,Medium,True,,Layer 2,,Observed symptom: Clients cannot join the 'CorpWiFi' SSID. They are prompted f | Topology connection: Laptop -> AP -> WLC | Show command finding: WLC> show wlan 1,True,show wlan 1 on WLC,Change WLAN 1 Layer 2 security Auth Key Management to PSK and enter pre-shared key.,No duplicate IP addresses detected.,,0.0
NET-029,Wireless,True,Internal DHCP scope for Guest wireless clients is administratively disabled on Wireless LAN Controller.,Internal DHCP scope for Guest wireless clients is administratively disabled on Wireless LAN Controller.,True,0.9,Medium,Medium,True,,Layer 7,,Observed symptom: Wireless clients connecting to 'Guest-Net' fail to obtain IP | Topology connection: Guest Laptop -> Lightweight AP -> WLC (DHCP Server) | Show command finding: WLC> show dhcp summary,True,show dhcp summary on WLC and ipconfig /renew on guest client,Enable DHCP scope GuestPool on WLC with config dhcp scope enable GuestPool.,No duplicate IP addresses detected.,,0.0
NET-030,Wireless,True,Guest isolation ACL GUEST_BLOCK is created on Core Switch but not applied inbound on interface Vlan50.,Guest isolation ACL GUEST_BLOCK is created on Core Switch but not applied inbound on interface Vlan50.,True,0.9,High,High,True,,Layer 3,,Observed symptom: Guest Wi-Fi users connected to 'Guest-WiFi' can reach sensit | Topology connection: Guest Laptop -> AP -> WLC -> Core Switch -> Corporate Server | Show command finding: WLC> show wlan 3,True,show ip interface Vlan50 and ping 10.0.0.10 from guest host,"Apply ACL inbound on Vlan50 interface (interface Vlan50, ip access-group GUEST_BLOCK in).",No duplicate IP addresses detected.,,0.0
NET-031,VLAN,True,Interface Fa0/5 on SW1 is assigned to default VLAN 1 instead of VLAN 20.,Interface Fa0/5 on SW1 is assigned to default VLAN 1 instead of VLAN 20.,True,0.9,Medium,Medium,True,,Layer 2,,Observed symptom: Host connected to SW1 Fa0/5 cannot communicate with other de | Topology connection: Host_C -> SW1 (Fa0/5) -> Trunk -> Core Router | Show command finding: SW1# show vlan brief,True,show interfaces Fa0/5 switchport on SW1,Configure switchport access vlan 20 on interface Fa0/5 on SW1.,No duplicate IP addresses detected. | Interface Fa0/5 on R1 is down. | VLAN 1 exists on SW1.,,0.0
NET-032,Gateway,True,"Subinterface Gi0/0.20 is missing encapsulation dot1Q 20, causing line protocol to remain down.","Subinterface Gi0/0.20 is missing encapsulation dot1Q 20, causing line protocol to remain down.",True,0.9,High,High,True,,Layer 3,,Observed symptom: Hosts on VLAN 20 cannot reach remote subnets via Router-on-a | Topology connection: VLAN 20 Hosts -> Switch -> Router (Gi0/0.20 subinterface) | Show command finding: Router# show running-config interface Gi0/0.20,True,show ip interface brief on Router,Configure encapsulation dot1Q 20 under subinterface Gi0/0.20 on Router.,No duplicate IP addresses detected. | Interface Gi0/0.20 on R1 is down.,,0.0
NET-033,DHCP,True,Network statement in DHCP pool is configured for the wrong subnet (192.168.2.0/24 instead of 192.168.1.0/24).,Network statement in DHCP pool is configured for the wrong subnet (192.168.2.0/24 instead of 192.168.1.0/24).,True,0.9,Medium,Medium,True,,Layer 7,,Observed symptom: DHCP clients receive IP addresses in the 192.168.2.0/24 subn | Topology connection: Branch PC -> Switch -> Branch Router (DHCP Server) | Show command finding: Branch_Router# show running-config | section dhcp,True,ipconfig /renew on client PC,Update DHCP pool network statement to network 192.168.1.0 255.255.255.0.,No duplicate IP addresses detected. | Interface Gi0/0 on R1 is down.,,0.0
NET-034,DNS,True,DNS domain lookup and name-server IP (8.8.8.8) are not configured on router R1.,DNS domain lookup and name-server IP (8.8.8.8) are not configured on router R1.,True,0.9,Low,Low,True,,Layer 7,,Observed symptom: Cisco IOS Router fails to resolve domain names when using di | Topology connection: Router R1 -> ISP Router (8.8.8.8 reachable) | Show command finding: R1# show running-config | include ip domain,True,ping google.com from R1,Configure ip domain-lookup and ip name-server 8.8.8.8 on router R1.,No duplicate IP addresses detected.,,0.0
NET-035,NAT,True,Static NAT rule maps public IP 203.0.113.10 to incorrect internal IP address (192.168.1.50 instead of 192.168.1.100).,Static NAT rule maps public IP 203.0.113.10 to incorrect internal IP address (192.168.1.50 instead of 192.168.1.100).,True,0.9,High,High,True,,Layer 3,,Observed symptom: External web clients cannot access internal web server at 19 | Topology connection: External Client -> Router R1 (Public IP 203.0.113.10) -> Web | Show command finding: R1# show running-config | include ip nat inside source static,True,show ip nat translations and HTTP query to 203.0.113.10,Update static NAT rule: ip nat inside source static 192.168.1.100 203.0.113.10.,No duplicate IP addresses detected. | Valid subnet mask on Host_1. | Interface Gi0/0 on R1 is down.,,0.0
